UsuarioOuPerfil,PerfilNovoSugerido,Tela,BotaoOuMenu,Acao,Tabela,PermissaoLegado,Area,Criticidade,StatusEvidencia
a validar por Nivel/usuario,,ComponentPlatformsAttribute9,ComponentPlatformsAttribute9,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,Consultar,Consultar,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,ConsultarNotaPrestador,ConsultarNotaPrestador,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,ConsultarNotaValida,ConsultarNotaValida,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,CreateMenuItem,CreateMenuItem,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,d Cliente,d Cliente,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,DadosCancelaNota,DadosCancelaNota,cancelamento/exclusao,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,DadosConsultaNota,DadosConsultaNota,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,DadosNota,DadosNota,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,DBG_Cadastros,DBG_Cadastros,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,DBG_CadastrosDblClick,DBG_CadastrosDblClick,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,DBG_CadastrosKeyPress,DBG_CadastrosKeyPress,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,dowSaturday,dowSaturday,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,DS_Cadastro,DS_Cadastro,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,DS_Nfe,DS_Nfe,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,DS_Nota,DS_Nota,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,DS_Nota<,DS_Nota<,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,Ed_Senha,Ed_Senha,consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,Ed_SenhaKeyPress,Ed_SenhaKeyPress,consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,Emite Produto (Bahia),Emite Produto (Bahia),relatorio/impressao,a validar,a validar,estoque,alta,confirmado por UI
a validar por Nivel/usuario,,EmiteNotaPoliContabilidade,EmiteNotaPoliContabilidade,relatorio/impressao,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,EnableMenuItem,EnableMenuItem,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,End. Cliente,End. Cliente,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,Est. Cliente,Est. Cliente,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,Estoque,Estoque,consulta/abre tela,a validar,a validar,estoque,alta,confirmado por UI
a validar por Nivel/usuario,,Exibe Clientes sem cpf,Exibe Clientes sem cpf,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,FAnnotation,FAnnotation,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,FAnnotations,FAnnotations,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,FC_DigSenha,FC_DigSenha,consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,FM_Gera_NFE,FM_Gera_NFE,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,FMenuItem,FMenuItem,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,FMustActivateMenuItem,FMustActivateMenuItem,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,Fnota,Fnota,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,FNotationDefs,FNotationDefs,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,FNotations,FNotations,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,FObjectMenuItem,FObjectMenuItem,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,FRelativeSizes,FRelativeSizes,relatorio/impressao,a validar,a validar,relatorio,media,confirmado por UI
a validar por Nivel/usuario,,FRightClickCancels,FRightClickCancels,cancelamento/exclusao,a validar,a validar,operacional,critica,confirmado por UI
a validar por Nivel/usuario,,FrmCadastroNfe,FrmCadastroNfe,inclusao,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,Fsenha,Fsenha,consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,FStatusNFe,FStatusNFe,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,GB_DadosNfe,GB_DadosNfe,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,GB_DadosNfe8,GB_DadosNfe8,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,GB_EmiteProduto,GB_EmiteProduto,relatorio/impressao,a validar,a validar,estoque,alta,confirmado por UI
a validar por Nivel/usuario,,Gera Nota com Desconto,Gera Nota com Desconto,consulta/abre tela,a validar,a validar,financeira,critica,confirmado por UI
a validar por Nivel/usuario,,GerarNota,GerarNota,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,GetMenuItemCount,GetMenuItemCount,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,GetMenuItemID,GetMenuItemID,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,GetMenuItemInfoW,GetMenuItemInfoW,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,IDOMNotationhL`,IDOMNotationhL`,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,Im_Senha,Im_Senha,consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,Informe o nome do cliente,Informe o nome do cliente,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,Informe o Valor do Produto,Informe o Valor do Produto,consulta/abre tela,a validar,a validar,estoque,alta,confirmado por UI
a validar por Nivel/usuario,,InsertMenuItemW,InsertMenuItemW,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,IXMLAnnotatedItem`o`,IXMLAnnotatedItem`o`,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,IXMLAnnotation`o`,IXMLAnnotation`o`,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
