Sistema,Executavel,MenuOuAcao,OperacaoPermissao,ModuloDominio,TipoAcao,PermissaoOrigem,Confianca,Observacao
LAVSOFT,LavSoft,Cadastro de Cores,Cores1,cadastro,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CB_CoresEntrada,Cores1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,"CB_CoresEntrada,",Cores1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,:\Equipexe\Sincroniza\Envio\Defeitos.xml,Defeitos1,sync/update/api,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,Defeitos encontrados no Produto,Defeitos1,estoque/produto,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Cadastro de Defeitos,Defeitos1,cadastro,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Defeitos encontrados no Produto,Defeitos1,estoque/produto,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,"3|Tipos de Entrada (Retira, Entrega, Delivery e Etc)",Delivery1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,AJUSTE REF. AO DELIVERY DO DESCONTO DO ROL N,Delivery1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,DELIVERY - Horario de Entrega do Rol,Delivery1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,"3|Tipos de Entrada (Retira, Entrega, Delivery e Etc)",Delivery1,estoque/produto,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Movimento Delivery,Delivery1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,"Desconto Porcentagem - Se valor final for 0,zera os valores",DescontoPorc1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,DescontoPorc1,DescontoPorc1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,Lb_DescontoPorc,DescontoPorc1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,DescontoPorc1,DescontoPorc1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Lb_DescontoPorc,DescontoPorc1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,DescontoporValor1,DescontoporValor1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Desconto por Valor,DescontoporValor1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
