Tabela,Caminho,Campo,Tipo,Tamanho,Precisao,Obrigatoriedade,IndiceParadoxDetectado,PossivelChavePrimaria,PossivelChaveEstrangeira,NomeVisualCorrespondente,ModuloRelacionado,TelaRelacionada,EntidadeDominio,ClassificacaoCampo,Evidencia,NivelConfianca,Status
GruUsuarios,Ger\Dados\GruUsuarios.DB,MotivoCan,System.String,200,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MotivoCan,Usuarios/Permissoes,nao confirmado,Usuarios/Permissoes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruUsuarios,Ger\Dados\GruUsuarios.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatCan,Usuarios/Permissoes,nao confirmado,Usuarios/Permissoes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruVen,Ger\Dados\GruVen.DB,GruVen,System.String,10,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,possivel,nao confirmado,GruVen,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
GruVen,Ger\Dados\GruVen.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,DatCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
GruVen,Ger\Dados\GruVen.DB,MotivoCan,System.String,100,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,MotivoCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
InteresCan,Ger\Dados\InteresCan.DB,MotivoCan,System.String,200,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MotivoCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
InteresCan,Ger\Dados\InteresCan.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
InteresCan,Ger\Dados\InteresCan.DB,Horcan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Horcan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
InteresMar,Ger\Dados\InteresMar.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
InteresMar,Ger\Dados\InteresMar.DB,MotivoCan,System.String,100,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MotivoCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
