Tabela,Caminho,Campo,Tipo,Tamanho,Precisao,Obrigatoriedade,IndiceParadoxDetectado,PossivelChavePrimaria,PossivelChaveEstrangeira,NomeVisualCorrespondente,ModuloRelacionado,TelaRelacionada,EntidadeDominio,ClassificacaoCampo,Evidencia,NivelConfianca,Status
LigTel,Ger\Dados\LigTel.DB,Status,System.String,2,0,nao confirmado,.PX,nao confirmado,nao confirmado,Status,Nao classificado,nao confirmado,Nao classificado,status,confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,alta,confirmado por schema
UsuaFil,Ger\Dados\UsuaFil.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,Status,Usuarios/Permissoes,nao confirmado,Usuarios/Permissoes,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
UsuaGruInt,Ger\Dados\UsuaGruInt.DB,Sit,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,Sit,Usuarios/Permissoes,nao confirmado,Usuarios/Permissoes,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
UsuaSis,Ger\Dados\UsuaSis.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,Status,Usuarios/Permissoes,nao confirmado,Usuarios/Permissoes,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
EnvEmails,Ger\Filial\EnvEmails.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,Status,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
MensagensSMS,Ger\Filial\MensagensSMS.DB,Status,System.String,60,0,nao confirmado,.PX,nao confirmado,nao confirmado,Status,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,alta,confirmado por schema
MovControle,Ger\Filial\MovControle.DB,Situacao,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,Situacao,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
MovControle,Ger\Filial\MovControle.DB,HorAprov,System.DateTime,8,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,HorAprov,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
MovControle,Ger\Filial\MovControle.DB,ObsAprov,System.String,400,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,ObsAprov,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
MovControle,Ger\Filial\MovControle.DB,UsuAprov,System.String,20,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,UsuAprov,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
MovControle,Ger\Filial\MovControle.DB,Status,System.String,60,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,Status,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
MovControle,Ger\Filial\MovControle.DB,StatusInf,System.String,100,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,StatusInf,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
MovControle,Ger\Filial\MovControle.DB,StatusAprovCom,System.String,60,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,StatusAprovCom,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
MovControle,Ger\Filial\MovControle.DB,UsuAprovCom,System.String,20,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,UsuAprovCom,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
