"FullName","Name","Extension","Length","LastWriteTime","FileDescription","ProductName","CompanyName","FileVersion","ProductVersion","OriginalFilename"
"D:\AtelieProd\Equipexe\Exe\NBSP2Eng.dll","NBSP2Eng.dll",".dll","1400832","27/05/2004 08:50:08","NITGEN Biometric Service Provider Module - English Resource DLL","NBioBSP English Resource DLL","NITGEN Co., Ltd.","4, 0, 0, 0","4, 0, 0, 0","NBSP2Eng.dll"
"D:\AtelieProd\Equipexe\Exe\NFE.exe","NFE.exe",".exe","5294080","20/04/2018 12:26:28","","","","1.0.0.0","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","NFSe_Util_nat.dll",".dll","103424","12/10/2009 23:39:00","NFSe_Util_ v0.1","NFse_Util","www.FlexDocs.com.br","0.1.0.0","0.1.0.0","NFSe_Util.dll"
"D:\AtelieProd\Equipexe\Exe\NFSe_Util.dll","NFSe_Util.dll",".dll","202752","12/10/2009 21:50:00","NFSe_Util_ v0.1","NFse_Util","www.FlexDocs.com.br","0.1.0.0","0.1.0.0","NFSe_Util.dll"
"D:\AtelieProd\Equipexe\Exe\NImgConv.dll","NImgConv.dll",".dll","135168","02/05/2005 14:23:44","NImgConverter DLL","NImgConverter Dynamic Link Library","NITGEN Co.,Ltd.","1, 0, 0, 1","1, 0, 0, 1","NImgConverter.DLL"
"D:\AtelieProd\Equipexe\Exe\NMOCOD.DLL","NMOCOD.DLL",".DLL","189952","06/06/1996 13:13:22","NMOCOD","NMOCOD Object Library","NetManage, Inc.","5.1.2727","5.1.2727",""
"D:\AtelieProd\Equipexe\Exe\NSearch.dll","NSearch.dll",".dll","147456","15/04/2005 14:39:20","eNSearch Engine For Windows 2000","NITGEN eNSearch Engine","NITGEN","1, 0, 0, 5","1, 0, 0, 5","NSearch.dll"
"D:\AtelieProd\Equipexe\Exe\ntwdblib.dll","ntwdblib.dll",".dll","274489","06/08/2000 00:51:54","SQL Server Client Library","Microsoft SQL Server","Microsoft Corporation","2000.080.0194.00","8.00.194","NTWDBLIB.DLL"
"D:\AtelieProd\Equipexe\Exe\OLEPRO32.DLL","OLEPRO32.DLL",".DLL","164112","05/05/1999 20:22:00","","","Microsoft Corporation","5.0.4275","2.40","OLEPRO32.DLL"
"D:\AtelieProd\Equipexe\Exe\Parametros.exe","Parametros.exe",".exe","1864192","08/02/2008 13:04:02",,,,,,
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","2460672","16/06/2006 10:35:00",,,,,,
"D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","PEquPrev2.exe",".exe","581632","18/02/2004 10:41:26",,,,,,
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","1226240","09/08/2003 18:32:42",,,,,,
"D:\AtelieProd\Equipexe\Exe\PTravaRelogio.exe","PTravaRelogio.exe",".exe","572928","02/12/2004 09:25:54",,,,,,
"D:\AtelieProd\Equipexe\Exe\qtintf.dll","qtintf.dll",".dll","4142592","22/05/2001 05:00:00","Delphi-Qt2.x Interface Library","Delphi-Qt2.x Interface Library","Borland Software Corporation","6.0.0.0","6.0","QTINTF.DLL"
"D:\AtelieProd\Equipexe\Exe\qtintf70.dll","qtintf70.dll",".dll","4082688","09/08/2002 13:00:00","Delphi-Qt2.x Interface Library","Delphi-Qt2.x Interface Library","Borland Software Corporation","7.0.4.258","7.0","QTINTF.DLL"
