"FileName","File","ImportedDll","Machine"
"NBioBSP.dll","D:\AtelieProd\Equipexe\Exe\NBioBSP.dll","ADVAPI32.dll","0x014C"
"NFE.exe","D:\AtelieProd\Equipexe\Exe\NFE.exe","advapi32.dll","0x014C"
"NFE.exe","D:\AtelieProd\Equipexe\Exe\NFE.exe","oleaut32.dll","0x014C"
"NFE.exe","D:\AtelieProd\Equipexe\Exe\NFE.exe","wininet.dll","0x014C"
"NFSe_Util_nat.dll","D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","advapi32.dll","0x014C"
"NFSe_Util_nat.dll","D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","oleaut32.dll","0x014C"
"NFSe_Util.dll","D:\AtelieProd\Equipexe\Exe\NFSe_Util.dll","mscoree.dll","0x014C"
"NMOCOD.DLL","D:\AtelieProd\Equipexe\Exe\NMOCOD.DLL","ADVAPI32.dll","0x014C"
"NMOCOD.DLL","D:\AtelieProd\Equipexe\Exe\NMOCOD.DLL","OLEAUT32.dll","0x014C"
"ntwdblib.dll","D:\AtelieProd\Equipexe\Exe\ntwdblib.dll","ADVAPI32.dll","0x014C"
"OLEPRO32.DLL","D:\AtelieProd\Equipexe\Importa\Figuras\OLEPRO32.DLL","ADVAPI32.dll","0x014C"
"OLEPRO32.DLL","D:\AtelieProd\Equipexe\Figuras\OLEPRO32.DLL","OLEAUT32.dll","0x014C"
"Parametros.exe","D:\AtelieProd\Equipexe\Exe\Parametros.exe","advapi32.dll","0x014C"
"Parametros.exe","D:\AtelieProd\Equipexe\Exe\Parametros.exe","oleaut32.dll","0x014C"
"Pcp.exe","D:\AtelieProd\Equipexe\Exe\Pcp.exe","advapi32.dll","0x014C"
"Pcp.exe","D:\AtelieProd\Equipexe\Exe\Pcp.exe","oleaut32.dll","0x014C"
"PEquPrev2.exe","D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","advapi32.dll","0x014C"
"PEquPrev2.exe","D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","oleaut32.dll","0x014C"
"PEquPrev6.exe","D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","advapi32.dll","0x014C"
"PEquPrev6.exe","D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","oleaut32.dll","0x014C"
"PTravaRelogio.exe","D:\AtelieProd\Equipexe\Exe\PTravaRelogio.exe","advapi32.dll","0x014C"
"PTravaRelogio.exe","D:\AtelieProd\Equipexe\Exe\PTravaRelogio.exe","oleaut32.dll","0x014C"
"qtintf.dll","D:\AtelieProd\Equipexe\Exe\qtintf.dll","ADVAPI32.DLL","0x014C"
"qtintf.dll","D:\AtelieProd\Equipexe\Exe\qtintf.dll","WSOCK32.DLL","0x014C"
"qtintf70.dll","D:\AtelieProd\Equipexe\Exe\qtintf70.dll","ADVAPI32.DLL","0x014C"
"qtintf70.dll","D:\AtelieProd\Equipexe\Exe\qtintf70.dll","WSOCK32.DLL","0x014C"
"SAT.exe","D:\AtelieProd\Equipexe\Exe\SAT.exe","advapi32.dll","0x014C"
"SAT.exe","D:\AtelieProd\Equipexe\Exe\SAT.exe","oleaut32.dll","0x014C"
"Senhas.exe","D:\AtelieProd\Equipexe\Exe\Senhas.exe","advapi32.dll","0x014C"
"Senhas.exe","D:\AtelieProd\Equipexe\Exe\Senhas.exe","oleaut32.dll","0x014C"
"TrocaWordExcel.exe","D:\AtelieProd\Equipexe\Exe\TrocaWordExcel.exe","advapi32.dll","0x014C"
"TrocaWordExcel.exe","D:\AtelieProd\Equipexe\Exe\TrocaWordExcel.exe","oleaut32.dll","0x014C"
"Tutil32.dll","D:\AtelieProd\Equipexe\Exe\Tutil32.dll","ADVAPI32.dll","0x014C"
"Tutil32.exe","D:\AtelieProd\Equipexe\Exe\Tutil32.exe","ADVAPI32.dll","0x014C"
"ZipForge.dll","D:\AtelieProd\Equipexe\Exe\ZipForge.dll","mscoree.dll","0x014C"
