"Executavel","Categoria","Texto","Origem"
"LavSoft","operacional"," esta em Uso pelo Rol N","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","relatorio/impressao"," exibida no campo ""Entrega"" do relat","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Existe um Adiantamento para este Rol","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro"," FINANCEIRO ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," Fixada (Nota Fiscal)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," foi baixado na nota","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," foi emitido nota.","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," foi Entregue, Utilize o F7 para Voltar ao Estoque","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," foi marcado para entrega, ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Grava Rol para futuras compa","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," group by O.CodCli, O.Rol, O.DatLan,O.DatEnt,O.NumOS, O.RolOrc, O.Cancelado,OI.Rol, OI.CodPro, OI.SeqPro, OI.Quantidade,OI.CodLoc, OI.Peso,OI.CodCor, C.CodCli,C.Unidade,C.EndCli,C.NomCli,P.CodPro, P.DesPro, P.TipoControle","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Group By Rol, CodPro, SeqPro","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Group By Rol,CodPro,SeqPro, CodSerTer","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Group By Rol,CodPro,SeqPro,CodSerTer,Identif,Quantidade","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," Grupo Cliente: ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," Guarda o ultimo cliente digitado","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","relatorio/impressao"," Impresso todos os Clientes, Confirma a Impress","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," imprimir a nota mesmo assim","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Informe a altura do corte do Rol","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," INTERVALO DE NOTAS (Faturamento)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," levar os registros do controle de entrada c/ ou s/ quantidade","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
