"Executavel","Categoria","Texto"
"LavSoft","operacional",",M.DatEntRol"
"LavSoft","fiscal",":\EquipExe\EquSat"
"LavSoft","fiscal",":\EquipExe\EquSat.Ini"
"LavSoft","fiscal",":\EquipExe\Exe\Anotacoes.Exe"
"LavSoft","operacional",":\EquipExe\Exe\ControlaBloq.exe"
"LavSoft","operacional",":\EquipExe\Exe\ControlaBloq.exe X"
"LavSoft","operacional",":\EquipExe\Exe\Estoque.Exe"
"LavSoft","fiscal",":\Equipexe\Exe\NFE.Exe"
"LavSoft","autenticacao/permissao",":\EquipExe\Exe\Senhas.Exe"
"LavSoft","operacional",":\EquipExe\Figuras\Rol"
"LavSoft","operacional",":MovCab"" M on (O.RolOrc=M.Rol)"
"LavSoft","operacional",":MovItem"" MI on (M.Rol=MI.Rol) and (OI.CodPro = MI.CodPro)"
"LavSoft","fiscal",":NotaFisPag"" "
"LavSoft","fiscal",":Notas""    N, "
"LavSoft","fiscal",":Notas"" N"
"LavSoft","fiscal",":Notas"" N "
"LavSoft","fiscal",":Notas"" N ON N.CodCli = M.CodCli"
"LavSoft","operacional",":OrcItem"" OI on (O.Rol=OI.Rol)"
"LavSoft","operacional",":OrcItem"" OI on (OI.Rol=O.Rol)"
"LavSoft","operacional",":RESPECTIVA LAVAGEM.   3 - A ROUPA N"
"LavSoft","operacional","!&Efetua Entrada do Rol em Estoque"
"LavSoft","outro","!Cancela|Cancela Grupo selecionado"
"LavSoft","operacional","!Controlar Data Lan"
"LavSoft","fiscal","!MovimentoResumidoNotaFiscal1Click"
"LavSoft","fiscal","!Passador(a)/Lavador(a)/Conferente"
"LavSoft","relatorio/impressao","!Processamento do relat"
"LavSoft","relatorio/impressao","!RELAT"
"LavSoft","relatorio/impressao","!RelatriodePassadoriaProduto1Click"
"LavSoft","operacional","!Tb_MovCabRolAnterior.DisplayWidth"
"LavSoft","operacional","!VerificaodePreoUnitriodoRol1Click"
"LavSoft","operacional",".Cancela somente registros sem rols vinculados."
"LavSoft","operacional",".Local do Rol que ultrapassou o limite de pe"
"LavSoft","operacional",".Margem - Titulo Rol (Jato Tinta)   Padr"
"LavSoft","outro","'Cancela|Cancela Passadeiras selecionada"
"LavSoft","operacional","'Controle de Produ"
"LavSoft","fiscal","'from   ""c:\EquipExe\Lav\Filial\Notas""N,"
"LavSoft","autenticacao/permissao","'S:\BaseTestes\Usuarios\Carlos\Ger\Dados"
"LavSoft","outro",""" And (Cancelado is Null)"
"LavSoft","operacional",""") And (P.CodPro=I.CodPro) And (M.Rol="""
"LavSoft","fiscal",""") And (TipNota = ""F"") And (not (Cancelada = ""S""))  "
"LavSoft","fiscal","""&Passador(a)/Lavador(a)/Conferente"
"LavSoft","cadastro","""Cadastro de Condi"
"LavSoft","cadastro","""Cadastro de Servi"
"LavSoft","fiscal","""Cancelamento de Notas (&Intervalo)"
"LavSoft","fiscal","""CancelamentodeNotasIntervalo1Click"
"LavSoft","financeiro","""CancelamentodoUltimoEncerramCaixa1("
"LavSoft","financeiro","""ControlaDescontosporCadastri1Click"
"LavSoft","financeiro","""Enc.Caixa Sabado/Domingos/Feriados"
"LavSoft","relatorio/impressao","""Relat"
"LavSoft","operacional","(    Rol               OS            Data"
"LavSoft","outro","( Cancelado = '' )"
"LavSoft","outro","( Not( Cancelado="
"LavSoft","operacional","(+)Rol:"
"LavSoft","operacional","(+)Rol:****"
"LavSoft","financeiro","(Caixa)"
"LavSoft","outro","(Cancela|Cancela tipo entrada selecionado"
"LavSoft","autenticacao/permissao","(Cancelado <> 'C') and (TipUsuario <> 'C')"
"LavSoft","outro","(Cancelado='' )"
"LavSoft","outro","(Cancelado='') And  ((GruSubC='') Or   (GruSubC='"
"LavSoft","fiscal","(NFE - Nota fiscal eletr"
"LavSoft","fiscal","(not(Cancelada='S')) and (TipNota<>'C')"
"LavSoft","outro","(Not(Cancelado='S'))"
"LavSoft","operacional","(Rol ="
"LavSoft","operacional","(Rol=0) and (not(Cancelado='S'))"
"LavSoft","operacional",") and (Rol<=0))  "
"LavSoft","fiscal",") Or (M.NumNotAdi="
"LavSoft","fiscal",") or (NumNotAdi="
"LavSoft","outro",")(TipFpg <> 'PD') And (not(Cancelado='S'))"
"LavSoft","outro",")) and (Not(Cancelado  ="
"LavSoft","autenticacao/permissao",")Bloqueia Cancelamento (Usuario Digitador)"
"LavSoft","cadastro",")Consulta|Consulta do Cadastro selecionado"
"LavSoft","relatorio/impressao","[   Data do Relat"
"LavSoft","financeiro","[ Caixa Matricial ]"
"LavSoft","operacional","[ Controla Entrada] "
"LavSoft","operacional","[ Controle Pe"
"LavSoft","outro","[ Data de Cancelamento ]"
"LavSoft","cadastro","[ Estoque no Cliente ]"
"LavSoft","financeiro","[ Financeiro ]"
"LavSoft","fiscal","[ Nota Fiscal ]"
"LavSoft","operacional","]( ** ) Se no mesmo rol existir (Servi"
"LavSoft","cadastro","}* Produtos em Vermelhor = Estoque maior que a m"
"LavSoft","cadastro","* - Produto com estoque baixo"
"LavSoft","outro","* * * * *  CANCELADO * * * * *"
"LavSoft","cadastro","* Produtos controlados por peso"
"LavSoft","fiscal","****** CLIENTE DESATIVADO ******"
"LavSoft","operacional","*Aloca zeros na O.S. (Somente sem controle)"
"LavSoft","cadastro","*Expande Cliente ou Adiciona Pesagem no Rol"
"LavSoft","fiscal","*from   ""c:\EquipExe\Lav\Filial\Notas""   N,"
"LavSoft","relatorio/impressao","*RelatrioPassadoriaLavanderiaResumido1Click"
"LavSoft","operacional","/Bloqueia Cores Repetidas no Controle de Entrada"
"LavSoft","relatorio/impressao","/Equipe Relat"
"LavSoft","fiscal","\Anotacoes"
"LavSoft","fiscal","\Anotacoes"" A"
"LavSoft","outro","\Forneced"" Where (Not(Cancelado=""S""))"
"LavSoft","operacional","\MensRol"
"LavSoft","operacional","\MovCab""   M ON I.Rol = M.Rol "
"LavSoft","operacional","\MovCab"" M on (O.RolOrc=M.Rol)"
"LavSoft","operacional","\MovCab"" MC on (MV.ROL = MC.ROL)"
"LavSoft","operacional","\MovCab""M On  (I.Rol=M.Rol)"
"LavSoft","financeiro","\MovIniCaixa"" Where (Seq > 0) And (Data="""
"LavSoft","operacional","\MovItem"" MI on (M.Rol=MI.Rol) and (OI.CodPro = MI.CodPro)"
"LavSoft","operacional","\MovItem"" Where (Rol="
"LavSoft","operacional","\MovItemSer"" Where (Rol="""
"LavSoft","outro","\MovTerc"" Where (Cancelado is null) And (CodFor="""
"LavSoft","outro","\MovTerc"" Where (Cancelado is null) And (CodSerTer="
"LavSoft","operacional","\MovTercPec""TP On (I.Rol = TP.Rol) and (I.SeqPro = TP.SeqPro) And (I.CodPro = TP.CodPro)"
"LavSoft","fiscal","\NotaFisPag"" "
"LavSoft","fiscal","\NotaFMsgPre"
"LavSoft","fiscal","\Notas"
"LavSoft","fiscal","\Notas"" "
"LavSoft","fiscal","\Notas""    N"
"LavSoft","fiscal","\Notas""    N,"
"LavSoft","fiscal","\Notas""    N, "
"LavSoft","fiscal","\Notas"" N"
"LavSoft","fiscal","\Notas"" N "
"LavSoft","fiscal","\Notas"" N ON N.CodCli = M.CodCli "
"LavSoft","operacional","\OrcItem"" OI on (O.Rol=OI.Rol)"
"LavSoft","operacional","\OrcItem"" OI on (O.Rol=OI.Rol) "
"LavSoft","outro","\PadLctoFin"" Where (Not(Cancelado=""S""))"
"LavSoft","fiscal","\Sat\Dados"
"LavSoft","fiscal","\Sat\Filial"
"LavSoft","outro","\TabPreco"" Where (Not(Cancelado=""S""))"
"LavSoft","operacional","\TabProLim""  TabProLim"
"LavSoft","operacional","\TabProLim"" T"
"LavSoft","outro","\TpVendas"" Where (Not(Cancelado=""S"")) "
"LavSoft","autenticacao/permissao","\Usuarios"" Where (Not(Cancelado=""S""))"
"LavSoft","fiscal","&Anota"
"LavSoft","cadastro","&Cadastros      "
"LavFacilLan","fiscal","       (NumNotAdi ="
"LavFacilLan","operacional","       M.CodTab,M.SitRol,M.CodLoc as CodLocMov,M.Cancelado"
"LavFacilLan","fiscal","       M.NumNotAdi,"
"LavFacilLan","operacional","       M.ROL,"
"LavFacilLan","outro","      And (not (M.Cancelado=""S"")) "
"LavFacilLan","financeiro","      de Caixa      "
"LavFacilLan","fiscal","     Conferencia    "
"LavFacilLan","financeiro","     de Caixa     "
"LavFacilLan","fiscal","     Notas N On (M.NumNot = N.NumNot) or (M.NumNotAdi = N.NumNot)"
"LavFacilLan","outro","  And (not(Cancelado=""S"")) "
"LavFacilLan","operacional","  Hora    Rols Pecas"
"LavFacilLan","fiscal","  Nota     Rols   FPG"
"LavFacilLan","fiscal","  Nota     Rols-Tip FPG-T Vend. "
"LavFacilLan","operacional","  Rols      Data     Posicao"
"LavFacilLan","operacional","  Rols     Qde    FPG"
"LavFacilLan","operacional","  Rols    Valor Rol     "
"LavFacilLan","operacional","  Rols   Qde  P  "
"LavFacilLan","operacional","  Rols   Qde  P      "
"LavFacilLan","operacional","  Rols   Qde P  O.S    LANCT  Valor "
"LavFacilLan","operacional","  Rols em Aberto"
"LavFacilLan","cadastro"," - Atualiza Cadastro de Locais ..."
"LavFacilLan","cadastro"," - Cadastro de Locais ..."
"LavFacilLan","outro"," - Data do Cancelamento: "
"LavFacilLan","outro"," - FatPre - Cancelar ("
"LavFacilLan","fiscal"," - GeraParcNotas - "
"LavFacilLan","operacional"," - Rol: "
"LavFacilLan","operacional"," - SubRol "
"LavFacilLan","autenticacao/permissao"," - Usuario: "
"LavFacilLan","operacional"," - Valor Rol: "
"LavFacilLan","cadastro"," -> Rol ou Cliente n"
"LavFacilLan","operacional"," -> Rols Aberto"
"LavFacilLan","operacional"," -> Rols Aberto "
"LavFacilLan","operacional"," -> Rols Aberto - Gravado no TbAdoRolsAberto"
"LavFacilLan","operacional"," -> Rols Aberto - Manda gravar no TbAdoRolsAberto"
"LavFacilLan","operacional"," -> Rols Aberto - Varifica Saldo"
"LavFacilLan","outro"," ... - Cancelado"
"LavFacilLan","operacional"," ... - Verificando estoque"
"LavFacilLan","outro"," (Not(Cancelado='S'))"
"LavFacilLan","fiscal"," ****** CLIENTE DESATIVADO ******"
"LavFacilLan","operacional"," / ROL N. "
"LavFacilLan","operacional"," %rol% "
"LavFacilLan","operacional"," Agrupam.: Rol |"
"LavFacilLan","fiscal"," Agrupam.: Tipo de Nota |"
"LavFacilLan","outro"," and    (M.Cancelado=""S"")"
"LavFacilLan","outro"," and    (N.Cancelada=""S"") "
"LavFacilLan","outro"," and    (not (M.Cancelado=""S""))"
"LavFacilLan","outro"," and    (not N.Cancelada=""S"")"
"LavFacilLan","outro"," and    (not(N.Cancelada=""S"")) "
"LavFacilLan","operacional"," and    (RolOrc is null)"
"LavFacilLan","operacional"," and    M.""DatEntRol""<=:ParDatRolFinal"
"LavFacilLan","operacional"," and    M.""DatEntRol"">=:ParDatRolInicio"
"LavFacilLan","autenticacao/permissao"," and    M.CodUsuario="""
"LavFacilLan","autenticacao/permissao"," and    N.CodUsuario="""
"LavFacilLan","fiscal"," and    N.TipNota="""
"LavFacilLan","operacional"," and   (( (not( M.SitRol=""P"")) ) or (M.Posicao=""L""))"
"LavFacilLan","operacional"," and   ((M.SitRol=""P"") and (Not(M.Posicao=""L"")) ) "
"LavFacilLan","operacional"," and   (M.SitRol="""")"
"LavFacilLan","operacional"," and   (not M.SitRol=""P"")"
"LavFacilLan","operacional"," and   (Not(RolOrc is null))"
"LavFacilLan","operacional"," and   CP.DatEst<=:ParDatFimEntRol"
"LavFacilLan","operacional"," and   CP.DatEst>=:ParDatIniEntRol"
"LavFacilLan","operacional"," and   M.""DatEntRol""<=:ParDatFimEntRol"
"LavFacilLan","operacional"," and   M.""DatEntRol"">=:ParDatIniEntRol"
"LavFacilLan","operacional"," and   M.SitRol=""P"""
"LavFacilLan","operacional"," and   MC.DatEntRol = :ParDatIniEntRol"
"LavFacilLan","operacional"," and   MC.DatEntRol<=:ParDatFimEntRol"
"LavFacilLan","operacional"," and   MC.DatEntRol>=:ParDatIniEntRol"
"LavFacilLan","operacional"," and   MC.SitRol=""P"""
"LavFacilLan","financeiro"," And  ((M.DescontoRol = 0) or (M.DescontoRol is Null)) "
"LavFacilLan","financeiro"," And  (M.NumGR <> """") and (not(M.Posicao = ""S""))and  (C.Desconto > 0)  and (not(M.Cancelado = ""S"")) "
"LavFacilLan","operacional"," and  (not(M.SitRol=""P"")) "
"LavFacilLan","operacional"," and  Not MC.SitRol=""P"""
"LavFacilLan","financeiro"," and ( (not(M.DescontoRol=0)) Or (not(M.DescontoValor=0)) )"
"LavFacilLan","fiscal"," And ((Desativado is Null) or (Desativado=""N""))"
"LavFacilLan","outro"," AND ((M.Cancelado IS NULL) OR (M.Cancelado <> %s))"
"LavFacilLan","outro"," AND ((M.Cancelado IS NULL) OR (M.Cancelado <> %s)) "
"LavFacilLan","outro"," And ((MC.Cancelado = """") Or (MC.Cancelado IS NULL)) "
"LavFacilLan","autenticacao/permissao"," And (CodUsuario="""
"LavFacilLan","operacional"," and (M.SitRol=""P"") "
