"Source","Target","RelativePath","Extension","Length","LastWriteTime","CopiedAt","ReadOnly"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst2.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst2.DB","EST\DADOS\CadGruEst2.DB",".DB","2048","15/01/2019 15:52:34","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst2.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst2.PX","EST\DADOS\CadGruEst2.PX",".PX","2048","15/01/2019 15:52:34","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst2.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst2.XG0","EST\DADOS\CadGruEst2.XG0",".XG0","34816","15/01/2019 15:52:34","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst2.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst2.YG0","EST\DADOS\CadGruEst2.YG0",".YG0","4096","15/01/2019 15:52:34","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst3.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst3.DB","EST\DADOS\CadGruEst3.DB",".DB","2048","15/01/2019 15:52:36","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst3.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst3.PX","EST\DADOS\CadGruEst3.PX",".PX","2048","15/01/2019 15:52:36","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst3.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst3.XG0","EST\DADOS\CadGruEst3.XG0",".XG0","34816","15/01/2019 15:52:36","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst3.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst3.YG0","EST\DADOS\CadGruEst3.YG0",".YG0","4096","15/01/2019 15:52:36","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst4.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst4.DB","EST\DADOS\CadGruEst4.DB",".DB","2048","15/01/2019 15:52:36","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\EST\DADOS\CadGruEst4.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS\CadGruEst4.PX","EST\DADOS\CadGruEst4.PX",".PX","2048","15/01/2019 15:52:36","23/05/2026 11:30:57","True"
