"FullName","DirectoryName","Name","Extension","Length","LastWriteTime"
"D:\AtelieProd\Equipexe\EST\DADOS\CadKit.DB","D:\AtelieProd\Equipexe\EST\DADOS","CadKit.DB",".DB","2048","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadKit.PX","D:\AtelieProd\Equipexe\EST\DADOS","CadKit.PX",".PX","2048","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadKit.XG0","D:\AtelieProd\Equipexe\EST\DADOS","CadKit.XG0",".XG0","34816","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadKit.YG0","D:\AtelieProd\Equipexe\EST\DADOS","CadKit.YG0",".YG0","4096","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadLocEst.DB","D:\AtelieProd\Equipexe\EST\DADOS","CadLocEst.DB",".DB","2048","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadLocEst.PX","D:\AtelieProd\Equipexe\EST\DADOS","CadLocEst.PX",".PX","2048","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadLocEst.XG0","D:\AtelieProd\Equipexe\EST\DADOS","CadLocEst.XG0",".XG0","34816","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadLocEst.YG0","D:\AtelieProd\Equipexe\EST\DADOS","CadLocEst.YG0",".YG0","4096","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\EST\DADOS\CadUniPro.DB","D:\AtelieProd\Equipexe\EST\DADOS","CadUniPro.DB",".DB","2048","15/01/2019 15:52:48"
"D:\AtelieProd\Equipexe\EST\DADOS\CadUniPro.PX","D:\AtelieProd\Equipexe\EST\DADOS","CadUniPro.PX",".PX","2048","15/01/2019 15:52:48"
"D:\AtelieProd\Equipexe\EST\DADOS\CadUniPro.XG0","D:\AtelieProd\Equipexe\EST\DADOS","CadUniPro.XG0",".XG0","34816","15/01/2019 15:52:50"
"D:\AtelieProd\Equipexe\EST\DADOS\CadUniPro.YG0","D:\AtelieProd\Equipexe\EST\DADOS","CadUniPro.YG0",".YG0","4096","15/01/2019 15:52:50"
"D:\AtelieProd\Equipexe\EST\DADOS\EstMinMax.DB","D:\AtelieProd\Equipexe\EST\DADOS","EstMinMax.DB",".DB","2048","15/01/2019 15:53:18"
"D:\AtelieProd\Equipexe\EST\DADOS\EstMinMax.PX","D:\AtelieProd\Equipexe\EST\DADOS","EstMinMax.PX",".PX","2048","15/01/2019 15:53:18"
"D:\AtelieProd\Equipexe\EST\DADOS\EstMinMax.XG0","D:\AtelieProd\Equipexe\EST\DADOS","EstMinMax.XG0",".XG0","34816","15/01/2019 15:53:18"
"D:\AtelieProd\Equipexe\EST\DADOS\EstMinMax.YG0","D:\AtelieProd\Equipexe\EST\DADOS","EstMinMax.YG0",".YG0","4096","15/01/2019 15:53:18"
"D:\AtelieProd\Equipexe\EST\DADOS\GruProEst.DB","D:\AtelieProd\Equipexe\EST\DADOS","GruProEst.DB",".DB","2048","15/01/2019 15:53:28"
"D:\AtelieProd\Equipexe\EST\DADOS\GruProEst.PX","D:\AtelieProd\Equipexe\EST\DADOS","GruProEst.PX",".PX","2048","15/01/2019 15:53:28"
"D:\AtelieProd\Equipexe\EST\DADOS\GruProEst.XG0","D:\AtelieProd\Equipexe\EST\DADOS","GruProEst.XG0",".XG0","34816","15/01/2019 15:53:28"
"D:\AtelieProd\Equipexe\EST\DADOS\GruProEst.YG0","D:\AtelieProd\Equipexe\EST\DADOS","GruProEst.YG0",".YG0","4096","15/01/2019 15:53:28"
"D:\AtelieProd\Equipexe\EST\DADOS\Legislacao.DB","D:\AtelieProd\Equipexe\EST\DADOS","Legislacao.DB",".DB","2048","15/01/2019 15:53:30"
"D:\AtelieProd\Equipexe\EST\DADOS\Legislacao.PX","D:\AtelieProd\Equipexe\EST\DADOS","Legislacao.PX",".PX","2048","15/01/2019 15:53:30"
"D:\AtelieProd\Equipexe\EST\DADOS\Legislacao.XG0","D:\AtelieProd\Equipexe\EST\DADOS","Legislacao.XG0",".XG0","34816","15/01/2019 15:53:30"
"D:\AtelieProd\Equipexe\EST\DADOS\Legislacao.YG0","D:\AtelieProd\Equipexe\EST\DADOS","Legislacao.YG0",".YG0","4096","15/01/2019 15:53:30"
"D:\AtelieProd\Equipexe\EST\DADOS\MarcasEst.DB","D:\AtelieProd\Equipexe\EST\DADOS","MarcasEst.DB",".DB","2048","15/01/2019 15:53:34"
"D:\AtelieProd\Equipexe\EST\DADOS\MarcasEst.PX","D:\AtelieProd\Equipexe\EST\DADOS","MarcasEst.PX",".PX","2048","15/01/2019 15:53:34"
"D:\AtelieProd\Equipexe\EST\DADOS\MarcasEst.XG0","D:\AtelieProd\Equipexe\EST\DADOS","MarcasEst.XG0",".XG0","34816","15/01/2019 15:53:34"
"D:\AtelieProd\Equipexe\EST\DADOS\MarcasEst.YG0","D:\AtelieProd\Equipexe\EST\DADOS","MarcasEst.YG0",".YG0","4096","15/01/2019 15:53:34"
"D:\AtelieProd\Equipexe\EST\DADOS\ProdEst.DB","D:\AtelieProd\Equipexe\EST\DADOS","ProdEst.DB",".DB","2048","15/01/2019 15:54:30"
"D:\AtelieProd\Equipexe\EST\DADOS\ProdEst.PX","D:\AtelieProd\Equipexe\EST\DADOS","ProdEst.PX",".PX","2048","15/01/2019 15:54:30"
"D:\AtelieProd\Equipexe\EST\DADOS\ProdEst.XG0","D:\AtelieProd\Equipexe\EST\DADOS","ProdEst.XG0",".XG0","34816","15/01/2019 15:54:30"
