"TableName","RelativePath","Directory","Length","ColumnCount","Extracted","ExtractedAt"
"CadProcItem","Ger\Dados\CadProcItem.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","11","True","23/05/2026 11:39:35"
"CadProducao","Ger\Dados\CadProducao.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","7","True","23/05/2026 11:39:35"
"CadRam","Ger\Dados\CadRam.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:35"
"CadSistema","Ger\Dados\CadSistema.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:36"
"CadSit","Ger\Dados\CadSit.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:36"
"CadSubC","Ger\Dados\CadSubC.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","7","True","23/05/2026 11:39:36"
"CadTipCon","Ger\Dados\CadTipCon.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","7","True","23/05/2026 11:39:36"
"CadTipProc","Ger\Dados\CadTipProc.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:36"
"CadUnid","Ger\Dados\CadUnid.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","7","True","23/05/2026 11:39:36"
"CadVen","Ger\Dados\CadVen.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","24","True","23/05/2026 11:39:36"
"CadVenPro","Ger\Dados\CadVenPro.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","3","True","23/05/2026 11:39:36"
"CaminhosFlex","Ger\Dados\CaminhosFlex.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:36"
"CenCus","Ger\Dados\CenCus.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","4","True","23/05/2026 11:39:36"
"CenCusCli","Ger\Dados\CenCusCli.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","17","True","23/05/2026 11:39:36"
"Cep","Ger\Dados\Cep.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","7","True","23/05/2026 11:39:36"
"Cheque1","Ger\Dados\Cheque1.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","4096","14","True","23/05/2026 11:39:36"
"ClaManut","Ger\Dados\ClaManut.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","7","True","23/05/2026 11:39:37"
"ClaPerda","Ger\Dados\ClaPerda.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:37"
"CliComissao","Ger\Dados\CliComissao.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","14","True","23/05/2026 11:39:37"
"CliCont","Ger\Dados\CliCont.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","4","True","23/05/2026 11:39:37"
"CliContato","Ger\Dados\CliContato.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","17","True","23/05/2026 11:39:37"
"ClienMar","Ger\Dados\ClienMar.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:37"
"Clientes","Ger\Dados\Clientes.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","11835392","124","True","23/05/2026 11:39:37"
"Clientes-","Ger\Dados\Clientes-.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","4331520","123","True","23/05/2026 11:39:37"
"ClientesInt","Ger\Dados\ClientesInt.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","3","True","23/05/2026 11:39:37"
"ClientesObs","Ger\Dados\ClientesObs.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","4","True","23/05/2026 11:39:37"
"CliPecLav","Ger\Dados\CliPecLav.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","4","True","23/05/2026 11:39:37"
"CompAutoPecas","Ger\Dados\CompAutoPecas.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","4","True","23/05/2026 11:39:38"
"Cores","Ger\Dados\Cores.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","7","True","23/05/2026 11:39:38"
"David","Ger\Dados\David.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","6144","7","True","23/05/2026 11:39:38"
"EncProg","Ger\Dados\EncProg.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","67584","5","True","23/05/2026 11:39:38"
"Equipe","Ger\Dados\Equipe.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","5","True","23/05/2026 11:39:38"
"Erros","Ger\Dados\Erros.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","7","True","23/05/2026 11:39:38"
"Especie","Ger\Dados\Especie.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","2","True","23/05/2026 11:39:38"
"EstatLavSoft","Ger\Dados\EstatLavSoft.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","17","True","23/05/2026 11:39:38"
"Feriados","Ger\Dados\Feriados.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","3","True","23/05/2026 11:39:38"
"Filiais","Ger\Dados\Filiais.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","34816","32","True","23/05/2026 11:39:38"
"ForCont","Ger\Dados\ForCont.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","4","True","23/05/2026 11:39:38"
"Forneced","Ger\Dados\Forneced.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","67584","44","True","23/05/2026 11:39:38"
"FornecMar","Ger\Dados\FornecMar.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","6","True","23/05/2026 11:39:38"
"FunAfastam","Ger\Dados\FunAfastam.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","8","True","23/05/2026 11:39:39"
"FunCli","Ger\Dados\FunCli.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","25","True","23/05/2026 11:39:39"
"FunCliCan","Ger\Dados\FunCliCan.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","5","True","23/05/2026 11:39:39"
"FunCliRou","Ger\Dados\FunCliRou.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","13","True","23/05/2026 11:39:39"
"FunCliRouM","Ger\Dados\FunCliRouM.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","14","True","23/05/2026 11:39:39"
