Dominio,Tabela,Caminho,TamanhoArquivo,QtdColunas,ClassesCampo,CamposPrincipais,Criticidade
config_admin,Cheque1Comp,Ger\Filial\Cheque1Comp.DB,2048,11,id_codigo:7; outro:2; data_hora:1; texto_observacao:1,NumChe; SeqChe; NumTit; Seq; CodFor; CodCla; CodSubC; ValTit; Obs; CodFil; CodCenCus,media
config_admin,Cheque2,Ger\Filial\Cheque2.DB,2048,14,outro:7; data_hora:3; id_codigo:1; cliente_ref:1; texto_observacao:1; usuario_auditoria:1,Banco; NumChe; TipChe; ValChe; SeqLan; ChePre; DatChe; Cancelado; MotivoCanc; DatCanc; SeqLanPar; Nominal; DatChePre; UsuarioChe,media
config_admin,Cheque2Comp,Ger\Filial\Cheque2Comp.DB,2048,11,id_codigo:7; outro:2; data_hora:1; texto_observacao:1,NumChe; SeqChe; NumTit; Seq; CodFor; CodCla; CodSubC; ValTit; Obs; CodFil; CodCenCus,media
config_admin,Cheque3,Ger\Filial\Cheque3.DB,2048,14,outro:7; data_hora:3; id_codigo:1; cliente_ref:1; texto_observacao:1; usuario_auditoria:1,Banco; NumChe; TipChe; ValChe; SeqLan; ChePre; DatChe; Cancelado; MotivoCanc; DatCanc; SeqLanPar; Nominal; DatChePre; UsuarioChe,media
config_admin,Cheque3Comp,Ger\Filial\Cheque3Comp.DB,2048,11,id_codigo:7; outro:2; data_hora:1; texto_observacao:1,NumChe; SeqChe; NumTit; Seq; CodFor; CodCla; CodSubC; ValTit; Obs; CodFil; CodCenCus,media
config_admin,Cheque4,Ger\Filial\Cheque4.DB,2048,14,outro:7; data_hora:3; id_codigo:1; cliente_ref:1; texto_observacao:1; usuario_auditoria:1,Banco; NumChe; TipChe; ValChe; SeqLan; ChePre; DatChe; Cancelado; MotivoCanc; DatCanc; SeqLanPar; Nominal; DatChePre; UsuarioChe,media
config_admin,Cheque4Comp,Ger\Filial\Cheque4Comp.DB,2048,11,id_codigo:7; outro:2; data_hora:1; texto_observacao:1,NumChe; SeqChe; NumTit; Seq; CodFor; CodCla; CodSubC; ValTit; Obs; CodFil; CodCenCus,media
config_admin,Cheque5,Ger\Filial\Cheque5.DB,2048,14,outro:7; data_hora:3; id_codigo:1; cliente_ref:1; texto_observacao:1; usuario_auditoria:1,Banco; NumChe; TipChe; ValChe; SeqLan; ChePre; DatChe; Cancelado; MotivoCanc; DatCanc; SeqLanPar; Nominal; DatChePre; UsuarioChe,media
config_admin,Cheque5Comp,Ger\Filial\Cheque5Comp.DB,2048,11,id_codigo:7; outro:2; data_hora:1; texto_observacao:1,NumChe; SeqChe; NumTit; Seq; CodFor; CodCla; CodSubC; ValTit; Obs; CodFil; CodCenCus,media
config_admin,Cheque6,Ger\Filial\Cheque6.DB,2048,14,outro:7; data_hora:3; id_codigo:1; cliente_ref:1; texto_observacao:1; usuario_auditoria:1,Banco; NumChe; TipChe; ValChe; SeqLan; ChePre; DatChe; Cancelado; MotivoCanc; DatCanc; SeqLanPar; Nominal; DatChePre; UsuarioChe,media
config_admin,Cheque6Comp,Ger\Filial\Cheque6Comp.DB,2048,11,id_codigo:7; outro:2; data_hora:1; texto_observacao:1,NumChe; SeqChe; NumTit; Seq; CodFor; CodCla; CodSubC; ValTit; Obs; CodFil; CodCenCus,media
config_admin,Cheque7,Ger\Filial\Cheque7.DB,2048,14,outro:7; data_hora:3; id_codigo:1; cliente_ref:1; texto_observacao:1; usuario_auditoria:1,Banco; NumChe; TipChe; ValChe; SeqLan; ChePre; DatChe; Cancelado; MotivoCanc; DatCanc; SeqLanPar; Nominal; DatChePre; UsuarioChe,media
config_admin,Cheque7Comp,Ger\Filial\Cheque7Comp.DB,2048,11,id_codigo:7; outro:2; data_hora:1; texto_observacao:1,NumChe; SeqChe; NumTit; Seq; CodFor; CodCla; CodSubC; ValTit; Obs; CodFil; CodCenCus,media
config_admin,Cheque8,Ger\Filial\Cheque8.DB,2048,14,outro:7; data_hora:3; id_codigo:1; cliente_ref:1; texto_observacao:1; usuario_auditoria:1,Banco; NumChe; TipChe; ValChe; SeqLan; ChePre; DatChe; Cancelado; MotivoCanc; DatCanc; SeqLanPar; Nominal; DatChePre; UsuarioChe,media
config_admin,Cheque8Comp,Ger\Filial\Cheque8Comp.DB,2048,11,id_codigo:7; outro:2; data_hora:1; texto_observacao:1,NumChe; SeqChe; NumTit; Seq; CodFor; CodCla; CodSubC; ValTit; Obs; CodFil; CodCenCus,media
config_admin,Cheque9,Ger\Filial\Cheque9.DB,2048,14,outro:7; data_hora:3; id_codigo:1; cliente_ref:1; texto_observacao:1; usuario_auditoria:1,Banco; NumChe; TipChe; ValChe; SeqLan; ChePre; DatChe; Cancelado; MotivoCanc; DatCanc; SeqLanPar; Nominal; DatChePre; UsuarioChe,media
config_admin,Cheque9Comp,Ger\Filial\Cheque9Comp.DB,2048,11,id_codigo:7; outro:2; data_hora:1; texto_observacao:1,NumChe; SeqChe; NumTit; Seq; CodFor; CodCla; CodSubC; ValTit; Obs; CodFil; CodCenCus,media
config_admin,CompMat,Ger\Filial\CompMat.DB,2048,3,id_codigo:2; quantidade:1,CodPro; CodMat; Quantidade,media
config_admin,ContChequeLot,Ger\Filial\ContChequeLot.DB,2048,12,outro:3; data_hora:3; texto_observacao:2; id_codigo:1; cliente_ref:1; status_situacao:1; usuario_auditoria:1,LoteCheque; ContaCor; DatLan; HorLan; CodUsuario; Cancelado; MotivoCan; DatCan; Baixa; DatBaixa; BaiUsuario; ObsLote,media
