"Tipo","CodUsuario","CodFil","CodSistema","Rotina","Op","NivelI","NivelA","NivelE","NivelT","DatCad","HorCad","ResUsuario"
"","PERFATEND","QL001","LAVSOFT","","MovimentoSintticoEntrada1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","MovimentoporDiadeSemana1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Parametros1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Passadoria1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","PgtosporTabela1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","PontosEntregues1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","PrevisoEntrega1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","ROlsPagos1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:16",""
"","PERFATEND","QL001","LAVSOFT","","RSL1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:16",""
"","PERFATEND","QL001","LAVSOFT","","ReciboCaixa1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","RelControlePontos1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","RelEstoquenoCli1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","RelFatPrecos1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","RelFreCli1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","RelatConfRol1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","RelatorioparaEntrega1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","ResFatDiaDia1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","ResFatNotFis1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","ResTipTabEmp1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","ResTipTabGru1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","Resumida1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","ResumoPorEmpree1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","RolsCancelados1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:15",""
"","PERFATEND","QL001","LAVSOFT","","SB_MudaValBase","","","","","17/04/2008 00:00:00","30/12/1899 10:03:16",""
"","PERFATEND","QL001","LAVSOFT","","SaldoControleEntrada1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:16",""
"","PERFATEND","QL001","LAVSOFT","","TabeladePreco1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:16",""
"","PERFATEND","QL001","LAVSOFT","","Terceirizacao1","","","","","17/04/2008 00:00:00","30/12/1899 10:03:16",""
