"Tipo","CodUsuario","CodFil","CodSistema","Rotina","Op","NivelI","NivelA","NivelE","NivelT","ResUsuario"
"","PONTO","QL001","LAVSOFT","","DescontosnoRol1","","","","",""
"","PONTO","QL001","LAVSOFT","","Devoluo1","","","","",""
"","PONTO","QL001","LAVSOFT","","DevoluoPagamento1","","","","",""
"","PONTO","QL001","LAVSOFT","","Ed_PorcDescontoPag","","","","",""
"","PONTO","QL001","LAVSOFT","","Ed_ValPag","","","","",""
"","PONTO","QL001","LAVSOFT","","EmissaodeCartao1","","","","",""
"","PONTO","QL001","LAVSOFT","","EmitirNotaFiscal1","","","","",""
"","PONTO","QL001","LAVSOFT","","Encerramento1","","","","",""
"","PONTO","QL001","LAVSOFT","","EncerramentoParcial1","","","","",""
"","PONTO","QL001","LAVSOFT","","EntradaEstoque1","","","","",""
"","PONTO","QL001","LAVSOFT","","EntradaRol1","","","","",""
"","PONTO","QL001","LAVSOFT","","EntregaRol","","","","",""
"","PONTO","QL001","LAVSOFT","","EntregaVariosRol1","","","","",""
"","PONTO","QL001","LAVSOFT","","EntregaVariosRol2","","","","",""
"","PONTO","QL001","LAVSOFT","","EntregaporPecas1","","","","",""
"","PONTO","QL001","LAVSOFT","","EnviaEmail1","","","","",""
"","PONTO","QL001","LAVSOFT","","Etiquetas1","","","","",""
"","PONTO","QL001","LAVSOFT","","ExcluiConfiguraoColunas1","","","","",""
"","PONTO","QL001","LAVSOFT","","Exportacao1","","","","",""
"","PONTO","QL001","LAVSOFT","","ExtratoCliente1","","","","",""
"","PONTO","QL001","LAVSOFT","","Faturamento1","","","","",""
"","PONTO","QL001","LAVSOFT","","FechamentodeCaixa1","","","","",""
"","PONTO","QL001","LAVSOFT","","Feriados1","","","","",""
"","PONTO","QL001","LAVSOFT","","FiliaisMatriz1","","","","",""
"","PONTO","QL001","LAVSOFT","","Filialmatriz1","","","","",""
"","PONTO","QL001","LAVSOFT","","FormadePagamento1","","","","",""
"","PONTO","QL001","LAVSOFT","","GravaColunas1","","","","",""
