"File","FileName","Extension","Machine","ImportedDll"
"D:\AtelieProd\Equipexe\Exe\Pcp.exe","Pcp.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","PEquPrev2.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","PEquPrev2.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","PEquPrev2.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","PEquPrev2.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","PEquPrev2.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","PEquPrev2.exe",".exe","0x014C","gdi32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","PEquPrev2.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","PEquPrev2.exe",".exe","0x014C","comctl32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","PEquPrev2.exe",".exe","0x014C","winspool.drv"
"D:\AtelieProd\Equipexe\Exe\PEquPrev2.exe","PEquPrev2.exe",".exe","0x014C","comdlg32.dll"
